userName,content
Sinta Claudia,saya kirim gmail dari kemaren belum juga dibales kirim paket sampai 8 hari ke kalimantan lacak resi tidak ada update tetap di tanggal 12 gilaa gak ada kejelasan gak ada penjelasan padahal orang butuh uangnya
Rohani Rohani,"ini gimana sih pos Indonesia sekarang semakin kacau, masak dicek resi kok katanya paket sudah diterima oleh yang bersangkutan, padahal sy blom ada trima paket apapun. KACAU, SUDAH TIDAK AMANAH POS INDONESIA"
Ardian Iyan (Iyan),masa ngirim dari bengkulu selatan ke pesisir selatan SUMBAR bisa nyampe keliling ke palembang kota paketnya..padahal dari bengkulu selatan ke pesisir selatan itu satu arah...makin kesini makin parah POS indonesia pelayanannya..kecewa sudah 5 hari paket blom sampe ke tujuan..setiap cek resi pasti keliling ke provinsi lain.. sangat mengecewakan
Andalusia Lusi,padahal aku dari tadi di rumah loh tapi dibilang rumah kosong. aku tungguin dari pagi karna itu barang cepet basi. apa kalau ga cepet dibuka apa ga busuk kurma mudanya
Mahmun Zulkifli,"app loak, mau cek paket SIM, install app, setelah install daftar dikirim kode verifikasi lewat WA. Saya input kode verifikasi dijawab kode verifikasi tdk valid. Kesel kan. Tutup aja POS Indonesia, banyak pengiriman swasta yg pelayanannya jauh lebih baik."
Teuku Alvikar Jum Merdeka Oktavino,"ngirim paket exspres dari karawang menuju jakarta sampe sekarang belum nyampe!!! padahal exspres lohh bukan reguler!! ngirim paket tanggal 5 Juli, sampe tanggal 8 belum nyampe juga?? untuk pihak pos Indonesia wajib lah ngasih no hp kurir nya, biar saya bisa telfon kurir nya, biar bisa tau kendala nya apa!!! kalo kaya gini terus bisa2 konsumen Pos Indonesia bisa pindah ke ekspedisi lain!!!"
Yani kurnia Ramadani,"gaush kirim""pkaett dsniii,paket sayaa udh 4 hari ga sampe""pdhl isi nya makanan,saya juga udh mahal""bayar ongkirrrr,maless bngettt ama pihak sono nyaaa lelet"
Sarif Hidayat,aplikasi gajelas cek resi di web ada tapi di app gak ketemu APUS apk aja cuk ga fungi amat bikin apk
Cucup Supriatna,"masuk apk pos Indonesia karena penasaran paket tak kunjung datang,.pas di cek eh beneran gak sampai rumah tuh paket,gak tau nympe ke rumah siapa padahal sudah jelas nama sama alamat nya..di keterangan paket sudah sampai rumah tujuan dan di terima oleh w*nd* padahal di rumah atau pun tetangga gak ada nama yang w*nd*..di cek lagi di bukti penerimaan..photo nya pun gak ada.."
RozaYuta,"karna kantor cabang jauh, aku pilih kirim dokumen dengan fitur pick up(diambil oleh kurir), tapi lama bener dari pagi udah selesai bikin order, sampai jam 3 sore kurir belum datang juga, udah nengok depan rumah juga gak ada kurir Pos Indo satupun yang lewat atau nanya ke tetangga. jadinya mau kegiatan lain agak was-was, ntar ditinggal kurir Dateng, ditungguin gak dateng-dateng."
